visibility,valid,humidity,humidity_S,wind,barometricPressure,validTimeLocal,validTimeUtc,temperature_S,temperature,high,low,feelsLikeTemperature,feelsLikeTemperature_S,dewPoint,shortDescription,description,icon,iconCode,lastUpdated,sunsetTime,sunriseTime,city_name,latitude,longitude
10,True,35,35,S 7 mph,30.04,2025-06-04T17:58:58-0400,1749074338,87,87,87,49,87,87,55,Sunny,Sunny,01,32,2025-05-04 17:58:00,08:23 PM,05:07 AM,Franklin city,43.45,-71.67
10,True,39,39,S 8 mph,30.05,2025-06-04T17:57:59-0400,1749074279,84,84,86,50,84,84,56,Fair,Fair,02,34,2025-05-04 17:57:00,08:21 PM,05:08 AM,Goffstown,43.02,-71.6
10,True,33,33,W 10 mph,30.02,2025-06-04T17:52:58-0400,1749073978,86,86,87,49,86,86,53,Sunny,Sunny,01,32,2025-05-04 17:52:00,08:24 PM,05:02 AM,Gorham,44.39,-71.19
10,True,43,43,S 8 mph,30.06,2025-06-04T17:59:37-0400,1749074377,81,81,83,55,81,81,56,Sunny,Sunny,01,32,2025-05-04 17:59:00,08:21 PM,05:10 AM,Greenville,42.77,-71.8
10,True,35,35,SW 6 mph,30.02,2025-06-04T17:53:57-0400,1749074037,82,82,86,47,82,82,52,Sunny,Sunny,01,32,2025-05-04 17:53:00,08:26 PM,05:02 AM,Groveton,44.6,-71.52
10,True,38,38,S 8 mph,30.06,2025-06-04T18:00:09-0400,1749074409,84,84,84,51,84,84,55,P Cloudy,Partly Cloudy,35,30,2025-05-04 18:00:00,08:17 PM,05:05 AM,Hampton,42.94,-70.83
10,True,39,39,S 8 mph,30.06,2025-06-04T17:50:38-0400,1749073838,82,82,82,53,82,82,54,P Cloudy,Partly Cloudy,35,30,2025-05-04 17:50:00,08:17 PM,05:05 AM,Hampton Beach,42.91,-70.81
10,True,41,41,S 9 mph,30.06,2025-06-04T17:54:22-0400,1749074062,83,83,85,51,84,84,57,Sunny,Sunny,01,32,2025-05-04 17:54:00,08:22 PM,05:10 AM,Hancock,42.97,-71.98
10,True,40,40,SSW 7 mph,30.03,2025-06-04T18:00:02-0400,1749074402,85,85,86,48,85,85,58,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:26 PM,05:08 AM,Hanover,43.71,-72.28
10,True,41,41,S 7 mph,30.04,2025-06-04T17:53:12-0400,1749073992,84,84,86,53,85,85,58,Sunny,Sunny,01,32,2025-05-04 17:53:00,08:22 PM,05:08 AM,Henniker,43.18,-71.82
10,True,41,41,S 9 mph,30.05,2025-06-04T17:58:53-0400,1749074333,84,84,85,53,84,84,57,Sunny,Sunny,01,32,2025-05-04 17:58:00,08:22 PM,05:09 AM,Hillsborough,43.11,-71.9
10,True,43,43,S 9 mph,30.05,2025-06-04T17:54:47-0400,1749074087,84,84,85,49,85,85,59,Sunny,Sunny,01,32,2025-05-04 17:54:00,08:24 PM,05:13 AM,Hinsdale,42.79,-72.49
10,True,38,38,S 8 mph,30.04,2025-06-04T18:00:02-0400,1749074402,84,84,86,52,84,84,55,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:20 PM,05:07 AM,Hooksett,43.09,-71.46
10,True,38,38,SSW 6 mph,30.06,2025-06-04T17:53:19-0400,1749073999,84,84,86,55,84,84,56,Sunny,Sunny,01,32,2025-05-04 17:53:00,08:19 PM,05:08 AM,Hudson,42.76,-71.43
10,True,43,43,SSW 10 mph,30.06,2025-06-04T17:54:00-0400,1749074040,81,81,82,49,82,82,56,Sunny,Sunny,01,32,2025-05-04 17:54:00,08:22 PM,05:11 AM,Jaffrey,42.81,-72.02
10,True,41,41,S 10 mph,30.05,2025-06-04T17:52:51-0400,1749073971,85,85,86,52,86,86,59,Sunny,Sunny,01,32,2025-05-04 17:52:00,08:23 PM,05:11 AM,Keene city,42.95,-72.3
10,True,38,38,S 5 mph,30.03,2025-06-04T18:00:00-0400,1749074400,83,83,84,53,83,83,55,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:22 PM,05:06 AM,Laconia city,43.57,-71.48
10,True,32,32,WSW 5 mph,30.01,2025-06-04T17:52:47-0400,1749073967,85,85,87,45,85,85,51,Sunny,Sunny,01,32,2025-05-04 17:52:00,08:26 PM,05:03 AM,Lancaster,44.49,-71.57
10,True,40,40,S 7 mph,30.03,2025-06-04T17:50:58-0400,1749073858,86,86,87,50,87,87,59,Sunny,Sunny,01,32,2025-05-04 17:50:00,08:26 PM,05:09 AM,Lebanon city,43.64,-72.25
10,True,36,36,SW 7 mph,30.04,2025-06-04T17:52:05-0400,1749073925,81,81,83,45,81,81,51,Sunny,Sunny,01,32,2025-05-04 17:52:00,08:25 PM,05:05 AM,Lincoln,44.06,-71.67
10,True,34,34,SSW 4 mph,30.02,2025-06-04T17:59:22-0400,1749074362,83,83,87,48,83,83,52,Sunny,Sunny,01,32,2025-05-04 17:59:00,08:26 PM,05:05 AM,Lisbon,44.21,-71.91
10,True,34,34,SW 4 mph,30.02,2025-06-04T18:00:04-0400,1749074404,83,83,86,48,83,83,52,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:26 PM,05:04 AM,Littleton,44.32,-71.76
10,True,37,37,SSW 8 mph,30.06,2025-06-04T17:58:19-0400,1749074299,84,84,84,54,84,84,54,Fair,Fair,02,34,2025-05-04 17:58:00,08:19 PM,05:08 AM,Londonderry,42.85,-71.36
10,True,36,36,S 8 mph,30.04,2025-06-04T18:00:05-0400,1749074405,85,85,86,49,85,85,55,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:21 PM,05:07 AM,Loudon,43.28,-71.46
10,True,32,32,SSW 9 mph,30.05,2025-06-04T17:58:05-0400,1749074285,86,86,86,51,86,86,53,P Cloudy,Partly Cloudy,35,30,2025-05-04 17:58:00,08:20 PM,05:08 AM,Manchester city,42.98,-71.44
10,True,42,42,S 10 mph,30.06,2025-06-04T17:56:21-0400,1749074181,83,83,84,50,83,83,57,Sunny,Sunny,01,32,2025-05-04 17:56:00,08:23 PM,05:11 AM,Marlborough,42.9,-72.21
10,True,39,39,S 6 mph,30.03,2025-06-04T17:59:52-0400,1749074392,81,81,83,53,82,82,54,Sunny,Sunny,01,32,2025-05-04 17:59:00,08:22 PM,05:05 AM,Melvin Village,43.69,-71.3
10,True,39,39,S 5 mph,30.03,2025-06-04T18:00:05-0400,1749074405,81,81,83,53,82,82,54,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:23 PM,05:05 AM,Meredith,43.66,-71.5
10,True,38,38,SSW 7 mph,30.05,2025-06-04T17:55:00-0400,1749074100,85,85,86,53,85,85,57,Sunny,Sunny,01,32,2025-05-04 17:55:00,08:20 PM,05:09 AM,Milford,42.83,-71.66
10,True,38,38,S 6 mph,30.04,2025-06-04T17:59:47-0400,1749074387,84,84,85,52,84,84,56,Sunny,Sunny,01,32,2025-05-04 17:59:00,08:20 PM,05:04 AM,Milton,43.4,-70.99
10,True,38,38,S 7 mph,30.04,2025-06-04T17:54:05-0400,1749074045,84,84,85,52,84,84,56,Sunny,Sunny,01,32,2025-05-04 17:54:00,08:20 PM,05:04 AM,Milton Mills,43.5,-70.97
10,True,37,37,S 4 mph,30.02,2025-06-04T17:55:11-0400,1749074111,81,81,85,48,81,81,52,Sunny,Sunny,01,32,2025-05-04 17:55:00,08:26 PM,05:06 AM,Mountain Lakes,44.12,-71.96
10,True,38,38,SSW 5 mph,30.06,2025-06-04T17:51:48-0400,1749073908,85,85,86,53,85,85,56,Sunny,Sunny,01,32,2025-05-04 17:51:00,08:19 PM,05:09 AM,Nashua city,42.75,-71.49
10,True,35,35,S 5 mph,30.03,2025-06-04T17:59:06-0400,1749074346,84,84,86,50,84,84,54,Sunny,Sunny,01,32,2025-05-04 17:59:00,08:23 PM,05:06 AM,New Hampton,43.61,-71.65
10,True,38,38,S 7 mph,30.04,2025-06-04T17:57:19-0400,1749074239,83,83,85,50,83,83,55,Sunny,Sunny,01,32,2025-05-04 17:57:00,08:24 PM,05:08 AM,New London,43.41,-71.98
10,True,36,36,SSW 7 mph,30.05,2025-06-04T17:57:22-0400,1749074242,85,85,86,49,85,85,55,P Cloudy,Partly Cloudy,35,30,2025-05-04 17:57:00,08:18 PM,05:05 AM,Newfields,43.04,-70.94
10,True,38,38,SSW 6 mph,30.05,2025-06-04T17:54:12-0400,1749074052,84,84,86,48,84,84,56,P Cloudy,Partly Cloudy,35,30,2025-05-04 17:54:00,08:18 PM,05:05 AM,Newmarket,43.08,-70.94
10,True,40,40,S 8 mph,30.04,2025-06-04T17:57:30-0400,1749074250,84,84,85,50,85,85,58,Sunny,Sunny,01,32,2025-05-04 17:57:00,08:24 PM,05:09 AM,Newport,43.37,-72.18
10,True,39,39,SW 11 mph,30.03,2025-06-04T17:59:51-0400,1749074391,83,83,85,51,83,83,56,Sunny,Sunny,01,32,2025-05-04 17:59:00,08:23 PM,05:03 AM,North Conway,44.05,-71.12
10,True,43,43,S 8 mph,30.04,2025-06-04T17:54:16-0400,1749074056,84,84,86,50,85,85,59,Sunny,Sunny,01,32,2025-05-04 17:54:00,08:25 PM,05:11 AM,North Walpole,43.15,-72.45
10,True,36,36,SSW 4 mph,30.04,2025-06-04T18:00:13-0400,1749074413,84,84,86,47,84,84,54,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:25 PM,05:05 AM,North Woodstock,44.04,-71.69
10,True,44,44,S 9 mph,30.06,2025-06-04T18:00:13-0400,1749074413,81,81,83,50,81,81,56,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:22 PM,05:10 AM,Peterborough,42.88,-71.96
10,True,38,38,SSW 8 mph,30.05,2025-06-04T17:52:14-0400,1749073934,84,84,86,48,84,84,55,Fair,Fair,02,34,2025-05-04 17:52:00,08:20 PM,05:08 AM,Pinardville,43.0,-71.52
10,True,34,34,S 7 mph,30.04,2025-06-04T17:58:09-0400,1749074289,86,86,86,50,86,86,54,Sunny,Sunny,01,32,2025-05-04 17:58:00,08:21 PM,05:06 AM,Pittsfield,43.3,-71.33
10,True,40,40,S 7 mph,30.03,2025-06-04T17:52:51-0400,1749073971,86,86,87,51,87,87,59,Sunny,Sunny,01,32,2025-05-04 17:52:00,08:26 PM,05:09 AM,Plainfield,43.53,-72.35
10,True,32,32,S 3 mph,30.03,2025-06-04T17:55:00-0400,1749074100,85,85,86,46,85,85,52,Sunny,Sunny,01,32,2025-05-04 17:55:00,08:24 PM,05:06 AM,Plymouth,43.74,-71.69
10,True,41,41,SSW 7 mph,30.04,2025-06-04T17:59:52-0400,1749074392,79,79,81,50,80,80,54,M Cloudy,Mostly Cloudy,06,28,2025-05-04 17:59:00,08:18 PM,05:05 AM,Portsmouth city,43.06,-70.78
10,True,37,37,SSW 8 mph,30.05,2025-06-04T17:51:00-0400,1749073860,84,84,86,51,84,84,55,Fair,Fair,02,34,2025-05-04 17:51:00,08:19 PM,05:06 AM,Raymond,43.03,-71.17
10,True,37,37,S 6 mph,30.05,2025-06-04T17:56:55-0400,1749074215,85,85,85,50,85,85,56,Sunny,Sunny,01,32,2025-05-04 17:56:00,08:19 PM,05:05 AM,Rochester city,43.3,-70.98
10,True,38,38,S 6 mph,30.04,2025-06-04T17:51:33-0400,1749073893,84,84,85,53,84,84,55,Sunny,Sunny,01,32,2025-05-04 17:51:00,08:20 PM,05:04 AM,Sanbornville,43.55,-71.03
10,True,35,35,S 8 mph,30.05,2025-06-04T17:57:27-0400,1749074247,86,86,87,53,86,86,56,P Cloudy,Partly Cloudy,35,30,2025-05-04 17:57:00,08:17 PM,05:05 AM,Seabrook Beach,42.89,-70.82
10,True,39,39,S 6 mph,30.05,2025-06-04T17:55:21-0400,1749074121,84,84,85,49,85,85,57,Sunny,Sunny,01,32,2025-05-04 17:55:00,08:19 PM,05:04 AM,Somersworth city,43.25,-70.89
10,True,34,34,SSW 9 mph,30.05,2025-06-04T18:00:18-0400,1749074418,85,85,87,49,85,85,54,P Cloudy,Partly Cloudy,35,30,2025-05-04 18:00:00,08:20 PM,05:07 AM,South Hooksett,43.03,-71.43
10,True,39,39,SSW 7 mph,30.03,2025-06-04T17:56:55-0400,1749074215,82,82,83,52,82,82,55,Sunny,Sunny,01,32,2025-05-04 17:56:00,08:22 PM,05:05 AM,Suissevale,43.72,-71.36
10,True,38,38,S 8 mph,30.04,2025-06-04T18:00:19-0400,1749074419,84,84,86,51,84,84,55,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:21 PM,05:07 AM,Suncook,43.14,-71.45
10,True,38,38,S 6 mph,30.04,2025-06-04T17:50:58-0400,1749073858,84,84,86,51,84,84,55,Sunny,Sunny,01,32,2025-05-04 17:50:00,08:22 PM,05:07 AM,Tilton Northfield,43.44,-71.59
10,True,45,45,S 10 mph,30.06,2025-06-04T17:53:33-0400,1749074013,80,80,82,50,81,81,57,Sunny,Sunny,01,32,2025-05-04 17:53:00,08:22 PM,05:11 AM,Troy,42.83,-72.18
10,True,37,37,S 6 mph,30.04,2025-06-04T17:59:17-0400,1749074357,84,84,85,53,84,84,55,Sunny,Sunny,01,32,2025-05-04 17:59:00,08:20 PM,05:04 AM,Union,43.49,-71.02
10,True,43,43,S 8 mph,30.04,2025-06-04T17:55:37-0400,1749074137,83,83,84,51,84,84,58,Sunny,Sunny,01,32,2025-05-04 17:55:00,08:24 PM,05:11 AM,Walpole,43.08,-72.42
10,True,38,38,S 7 mph,30.04,2025-06-04T17:56:11-0400,1749074171,86,86,87,49,86,86,57,Sunny,Sunny,01,32,2025-05-04 17:56:00,08:23 PM,05:08 AM,Warner,43.28,-71.82
10,True,34,34,SSW 7 mph,30.0,2025-06-04T17:50:46-0400,1749073846,84,84,86,48,84,84,53,Sunny,Sunny,01,32,2025-05-04 17:50:00,08:28 PM,05:01 AM,West Stewartstown,44.99,-71.53
10,True,40,40,S 11 mph,30.05,2025-06-04T17:59:22-0400,1749074362,84,84,85,50,85,85,57,Sunny,Sunny,01,32,2025-05-04 17:59:00,08:23 PM,05:12 AM,West Swanzey,42.87,-72.32
10,True,33,33,WSW 4 mph,30.02,2025-06-04T17:57:08-0400,1749074228,83,83,86,44,83,83,52,Sunny,Sunny,01,32,2025-05-04 17:57:00,08:26 PM,05:03 AM,Whitefield,44.37,-71.61
10,True,40,40,S 8 mph,30.06,2025-06-04T17:58:54-0400,1749074334,84,84,84,54,84,84,56,Sunny,Sunny,01,32,2025-05-04 17:58:00,08:21 PM,05:09 AM,Wilton,42.85,-71.74
10,True,44,44,S 10 mph,30.05,2025-06-04T18:00:23-0400,1749074423,82,82,84,50,83,83,58,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:23 PM,05:12 AM,Winchester,42.78,-72.39
10,True,36,36,S 5 mph,30.04,2025-06-04T17:57:41-0400,1749074261,84,84,85,51,84,84,54,Sunny,Sunny,01,32,2025-05-04 17:57:00,08:21 PM,05:05 AM,Wolfeboro,43.59,-71.21
10,True,36,36,S 6 mph,30.02,2025-06-04T17:51:51-0400,1749073911,84,84,87,46,84,84,54,Sunny,Sunny,01,32,2025-05-04 17:51:00,08:27 PM,05:06 AM,Woodsville,44.15,-72.03
